DOB,height_in,home_town,player_country,player_id,player_name,resides,total_first,total_forth,total_played,total_points1,total_points2,total_second,total_third
"May 7, 1995 (28 years old)",,,Denmark  ,21908,Mads Møllgaard,,0,0,2,160.0,0,0,0
"July 15, 2004 (18 years old)","5'10""","Chicago, IL",Cyprus  ,17898,Daria Dasha Gusarova,Nicosia,0,0,13,"$3,500",930.0,0,0
"May 17, 1989 (34 years old)","6'0""",Moscow,Russia  ,7757,Evgenia Ukolova,Moscow,2,2,133,"14,672.0", ,1,5
"April 11, 1994 (29 years old)","6'8""",Innsbruck,Austria  ,13344,Martin Ermacora,Natters,0,3,64,"8,727.0", ,2,1
"December 13, 1989 (33 years old)","6'0""",Sevilla,Spain  ,9599,Nazaret Florian Balbuena,Sevilla,0,0,6,84.0,0,0,0
"May 7, 1996 (27 years old)","6'5""","Chicago, IL",United States  ,16410,Earl Schultz,"Chicago, IL",0,0,2,125.0,0,1,0
"January 21, 1991 (32 years old)","5'8""","Novi, MI",United States  ,16015,Kimberly Hildreth,"Novi, MI",0,0,9,545.0, ,1,0
"November 11, 2000 (22 years old)","6'1""",Maia,Portugal  ,17921,Hugo Campos,Maia,0,1,15,"2,210.0",0,0,0
"October 15, 1990 (32 years old)","5'7""",Bogotá,Colombia  ,8462,"Claudia ""Gorda"" Patricia Galindo Rodriguez",Bogotá,1,1,32,"$10,375.30","1,795.0",0,0
"August 29, 1998 (24 years old)","6'1""",Puck,Poland  ,18100,Agata Ceynowa,Puck,0,2,40,"2,650.0", ,1,0
"March 21, 1988 (35 years old)","6'9""",Nieuwegein,Netherlands  ,9130,Robert Meeuwsen,Den Haag,7,7,122,"24,257.0", ,10,7
"October 31, 1986 (36 years old)","6'6""",Tunisia,Qatar  ,17700,Benlouaer Ziad,Doha,0,1,7,535.0,1,0,0
"February 14, 1985 (38 years old)","5'3""",Kanagawa Prefecture,Japan  ,10381,Miyuki Matsumura,"Shibuya-ku, Tokyo",0,2,15,576.0,1,0,0
"July 30, 1988 (34 years old)","6'9""",Essen,Germany  ,9556,Alexander Walkenhorst,Essen,0,4,52,"6,393.0", ,1,2
"October 23, 1980 (42 years old)","6'5""","Sumi, Ukraine",Kazakhstan  ,8249,Alexandr Dyachenko,Sumy,1,1,99,"7,153.0", ,1,1
"January 24, 1994 (29 years old)","5'9""",Copenhagen,Denmark  ,17623,Signe Zibrandtsen Haaning,Copenhagen,0,0,3,165.0,0,1,0
"December 14, 1991 (31 years old)","6'7""",Porsgrunn,Norway  ,13940,Daniel Bergerud,Oslo,0,1,27,"1,372.0", ,1,0
"October 11, 1995 (27 years old)","6'3""",Wroclaw,Poland  ,20527,Jakub Zdybek,,0,1,11,"1,390.0",0,0,0
"April 13, 1986 (37 years old)","6'1""",Turnov,Czech Republic  ,8231,Jan Dumek,Mnichovo Hradište,0,2,104,"5,766.0", ,0,0
"May 1, 1996 (27 years old)","6'0""","Georgetown, ON",Canada  ,15321,Jake MacNeil,"Halton Hills, ON",0,0,39,6,"$3,621.96",1,0
"January 17, 1996 (27 years old)","6'1""",Nantong,China  ,15495,Lvwen Yuan,Beijing,1,0,23,"2,521.0",1,1,0
"November 14, 1997 (25 years old)","6'3""","Metairie, LA",United States  ,16101,Evan Cory,"Metairie, LA",0,1,8,"1,290.0", ,0,0
"August 11, 1995 (27 years old)","6'0""",,Czech Republic  ,14698,Nicole Dostalova,,0,1,3,$200,127.0,0,0
"August 17, 2004 (18 years old)",,,Italy  ,20317,Margherita Tega,,0,0,3,170.0,0,0,0
"February 2, 1990 (33 years old)","6'6""",Vienna,Austria  ,13016,Daniel Müllner,Vienna,0,0,70,"3,998.0", ,1,0
"January 11, 1997 (26 years old)","6'1""",Warsaw,Poland  ,17583,Marta Lodej,Warsaw,0,1,33,"2,540.0", ,3,0
"August 19, 2000 (22 years old)","5'9""",Cham,Switzerland  ,17122,Mara Betschart,Steinhausen,0,0,20,$927.71,895.0,0,1
"December 30, 1989 (33 years old)","6'5""","Manhattan Beach, CA",United States  ,7091,Alix Klineman,"Manhattan Beach, CA",6,1,26,"7,750.0", ,2,3
"July 6, 1975 (47 years old)","6'4""","Brasilia, DF",Brazil  ,618,Harley Marques Silva,Joao Pessoa,16,12,147,"19,721.0", ,7,11
"November 27, 1990 (32 years old)","6'1""",João Pessoa (PB),Brazil  ,9344,Álvaro Morais Filho,Joao Pessoa,5,5,99,"18,302.0", ,6,4
"September 18, 1994 (28 years old)","6'9""",Kloten,Switzerland  ,14650,Adrian Heidrich,Kloten,1,2,65,"8,958.0", ,1,1
"December 7, 1985 (37 years old)","6'8""",Vitoria,Brazil  ,7998,Alison Conte Cerutti,"Manhattan Beach, CA",28,9,152,"35,524.0", ,18,15
"May 6, 1992 (31 years old)","6'5""",Mount Maunganui,New Zealand  ,11848,Ben O'Dea,Tauranga,0,1,4,400.0,0,0,0
"February 3, 1996 (27 years old)","6'2""",Wroclaw,Poland  ,17374,Aleksandra Gromadowska,Wroclaw,0,1,19,"1,305.0",0,0,0
"March 20, 1988 (35 years old)","5'10""",Bangkok,Thailand  ,8018,Julaluk Varapatsorn Radarong,Bangkod,1,0,90,"7,418.0", ,2,1
"January 14, 1992 (31 years old)","6'0""",Milan,Italy  ,19081,Sara Breidenbach,Milan,0,0,1,30.0,0,0,0
"February 11, 1998 (25 years old)","6'3""","Los Cristianos, Arona,Tenerife",Spain  ,15404,Alejandro Huerta Pastor,Lorca,1,2,34,"3,680.0", ,1,2
"November 12, 1989 (33 years old)","6'4""","Santa Barbara, CA",United States  ,13467,Miles Evans,"Santa Barbara, CA",1,1,45,"5,680.0", ,5,1
"October 21, 1991 (31 years old)","5'9""",Moscow,Russia  ,11303,Yulia Abalakina,Moscow,0,2,41,"3,026.0", ,0,0
"July 4, 1993 (29 years old)","6'8""",Gothenburg,Sweden  ,17375,Alexander Annerstedt,Gothenburg,0,0,13,630.0,0,1,0
"June 27, 1993 (29 years old)","6'5""",Ilawa,Poland  ,13069,Maciej Rudol,Ilawa,2,1,89,"9,932.0", ,1,2
"April 14, 1997 (26 years old)","6'1""",Nuremberg,Germany  ,15727,Viktoria Seeber,Berlin,1,0,6,570.0,0,0,0
"February 4, 1985 (38 years old)","6'7""",Odense,Denmark  ,8930,Daniel Thomsen,Odense,1,0,13,850.0,0,0,0
"February 5, 1997 (26 years old)","6'0""",Milano,Italy  ,15783,Gaia Traballi,Senago,0,3,20,"1,916.0",0,1,0
"March 22, 1997 (26 years old)","5'11""",Cugir,Romania  ,14793,Ioana-Alexandra Ordean,Timisoara,0,1,6,305.0,0,0,0
"June 28, 1988 (34 years old)","5'11""",Prague,Czech Republic  ,7763,Marketa Slukova,Prague,6,4,123,"20,949.0", ,3,2
"August 6, 1985 (37 years old)","6'6""",Havlickuv Brod,Czech Republic  ,14320,Marcel Myslivecek,Prague,0,0,7,330.0,1,1,0
"October 4, 1989 (33 years old)","6'4""",Hartberg,Austria  ,9549,Jörg Wutzl,Wien,1,0,52,"2,634.0", ,1,0
"February 18, 1989 (34 years old)","6'3""",Fujian,China  ,7238,Chen Xue,"Fuzhou, Fujian",18,7,151,"28,414.0", ,16,13
"June 23, 1996 (26 years old)","5'8""","Naperville, IL",United States  ,16798,Molly Turner,"Naperville, IL",1,0,9,"1,300.0", ,2,1
"July 20, 2000 (22 years old)","6'0""","Madrid, Spain",England  ,16932,Luis Javier Bello Fernandez Echevarria,London,1,0,39,"$9,471.00","2,795.0",0,3
"April 9, 1978 (45 years old)","6'1""",Gonbad Kavoos,Iran  ,11808,Rahman Raoufi,Teheran,1,0,23,"1,501.0",1,4,4
"October 5, 1989 (33 years old)","6'6""",Moscow,Russia  ,13027,Maksim Hudyakov,Moscow,4,0,42,"3,296.0", ,0,2
"February 19, 1993 (30 years old)","6'8""",Sverdlovsk-45,Russia  ,19110,Anton Kislytsyn,Saint Petersburg,1,1,14,"1,100.0",0,0,0
"June 11, 1982 (41 years old)","6'1""","Culver City, CA",United States  ,5323,John Mayer,"Los Angeles, CA",2,2,31,"3,212.0", ,0,0
"July 15, 2001 (21 years old)","5'8""",Croyde,England  ,16712,Ellie Austin,Croyde,0,0,2,80.0,0,0,0
"July 10, 2000 (22 years old)","6'4""",Valmiera,Latvia  ,18161,Ardis Daniels Bedritis,Sunisi,0,0,16,"1,130.0", ,0,1
"June 24, 1994 (28 years old)","5'11""",München,Germany  ,13144,Sandra Ittlinger,Berlin,0,2,59,"$94,520.00","10,080.0",1,0
"June 5, 1995 (28 years old)","6'6""",Victoria,Brazil  ,15356,Vinicius Rezende Costa Freitas,Victoria,1,0,19,"2,315.0",1,0,1
"December 26, 2001 (21 years old)","6'1""","Palm Beach Gardens, FL",United States  ,18936,Madelyne May Anderson,"Palm Beach Gardens, FL",0,0,4,690.0,0,1,0
"April 8, 2001 (22 years old)","5'10""",Nantong,China  ,17570,Jinjin Zeng,Beijing,1,1,47,"5,330.0", ,1,0
"February 20, 1996 (27 years old)","5'10""",Praha,Czech Republic  ,14767,Anna Komarkova,Praha,0,1,3,$200,112.0,0,0
"September 20, 2001 (21 years old)","6'4""","Boskoop
",Netherlands  ,20383,Sam van Der Loo,"The Hague
",0,0,8,645.0,0,1,0
"March 10, 1984 (39 years old)","5'8""",Gislaved,Sweden  ,7916,Sofia Ögren,Stockholm,0,0,11,622.0,1,0,1
"October 23, 1992 (30 years old)","5'6""",Odense,Denmark  ,11663,Line Trans Hansen,Odense,1,0,22,926.0, ,1,0
"April 9, 1988 (35 years old)","5'8""",Gävle,Sweden  ,12487,Sigrid Simonsson,Goteborg,0,2,11,690.0,0,0,0
"December 22, 1988 (34 years old)",,,Italy  ,16191,Eleonora Gili,,0,1,1,140.0,0,0,0
"December 19, 2001 (21 years old)","6'6""",Moscow,Russia  ,18458,Dmitrii Veretiuk,Moscow,1,0,5,320.0,0,0,1
"December 20, 2001 (21 years old)","6'3""",Umea,Sweden  ,17928,David Åhman,Umea,6,0,33,"6,230.0", ,2,3
"December 8, 1982 (40 years old)","5'10""",Magosa,Türkiye  ,8862,Bugra Eryildiz,famagusta,0,0,3,225.0,1,1,0
"May 9, 1997 (26 years old)","5'10""","Helsinki
",Finland  ,14007,Ida Sinisalo,Helsinki,0,1,25,"1,696.0", ,0,0
"January 4, 1989 (34 years old)","6'0""",Perugia,Italy  ,8503,Laura Giombini,Perugia,0,0,73,"4,501.0", ,0,1
"September 10, 1984 (38 years old)","6'7""",Tunisia,Qatar  ,19678,Saifeddine Aziz Binaziz Elmajid,Doha,0,1,8,645.0,1,0,0
"December 27, 1999 (23 years old)",,,Netherlands  ,17208,Esmee Priem,,0,0,3,210.0,0,1,0
"May 16, 1992 (31 years old)","5'11""",Rio de Janeiro,Brazil  ,11628,Ramon Ferreira Gomes,Rido de Janeiro,0,0,4,283.0,0,0,1
"August 11, 1990 (32 years old)","6'1""",St. Petersburg,Russia  ,12509,Ekaterina Syrtseva,St.-Petersburg,1,0,67,"5,859.0", ,2,1
"November 23, 1993 (29 years old)","5'11""",Havana,Cuba  ,14092,Mailen Deliz Tamayo,LA HABANA ,0,0,1,60.0,0,0,0
